Year,CBSA designated ports of entry/inland offices,January,February,March,April,May,June,July,August,September,October,November,December,Total
2017,Air Ports of Entry,285,255,220,235,285,240,295,270,400,405,320,660,3870
2017,Land Ports of Entry,925,1245,1595,1255,920,825,875,1015,855,800,645,675,11630
2017,Marine Ports of Entry,NA,0,0,5,0,0,NA,NA,NA,0,NA,NA,25
2017,"All Ports of Entry (Air, Land and Marine)",1210,1500,1815,1500,1205,1065,1175,1290,1255,1205,970,1340,15525
2017,Inland Offices,75,115,120,150,160,170,1370,1090,515,915,790,775,6240
2017,"Total - CBSA Land, Air and Marine port of entry and Inland Offices",1285,1615,1935,1645,1365,1235,2545,2380,1770,2120,1760,2115,21765
2018,Air Ports of Entry,530,445,475,540,660,545,495,550,705,585,690,720,6935
2018,Land Ports of Entry,580,490,1980,2820,2150,1600,2075,2225,2010,1785,1360,1575,20655
2018,Marine Ports of Entry,NA,0,NA,0,5,NA,NA,NA,NA,NA,NA,NA,25
2018,"All Ports of Entry (Air, Land and Marine)",1110,935,2455,3360,2815,2145,2570,2780,2715,2370,2055,2295,27610
2018,Inland Offices,435,490,215,65,95,80,60,80,80,90,75,60,1825
2018,"Total - CBSA Land, Air and Marine port of entry and Inland Offices",1545,1425,2670,3425,2910,2225,2630,2860,2800,2455,2130,2360,29430
2019,Air Ports of Entry,495,485,600,550,610,630,675,715,940,835,820,770,8120
2019,Land Ports of Entry,1160,1045,1270,1485,1565,1895,2355,2160,2130,2030,1450,1935,20485
2019,Marine Ports of Entry,0,NA,0,NA,NA,NA,10,NA,NA,NA,NA,NA,25
2019,"All Ports of Entry (Air, Land and Marine)",1655,1530,1870,2035,2180,2530,3040,2875,3070,2870,2270,2710,28630
2019,Inland Offices,65,60,70,75,65,45,60,55,65,60,55,65,735
2019,"Total - CBSA Land, Air and Marine port of entry and Inland Offices",1720,1590,1940,2110,2245,2570,3100,2930,3135,2930,2325,2770,29360
2020,Air Ports of Entry,565,650,390,5,5,15,25,40,25,30,45,70,1860
2020,Land Ports of Entry,1345,1215,1140,35,180,145,230,240,250,315,240,330,5660
2020,Marine Ports of Entry,0,0,0,NA,NA,5,NA,0,NA,0,0,NA,15
2020,"All Ports of Entry (Air, Land and Marine)",1910,1865,1530,45,190,165,255,280,275,345,285,400,7540
2020,Inland Offices,60,50,65,5,10,20,25,30,25,15,20,25,355
2020,"Total - CBSA Land, Air and Marine port of entry and Inland Offices",1970,1915,1595,50,200,185,280,310,300,360,305,420,7895
2021,Air Ports of Entry,70,45,35,50,55,55,75,120,440,700,840,985,3470
2021,Land Ports of Entry,250,235,190,230,240,275,375,620,935,820,1395,3365,8930
2021,Marine Ports of Entry,NA,0,NA,NA,5,0,NA,NA,0,0,NA,NA,20
2021,"All Ports of Entry (Air, Land and Marine)",325,285,230,280,295,330,450,740,1370,1520,2240,4350,12415
2021,Inland Offices,25,25,25,20,30,30,35,30,40,45,40,65,405
2021,"Total - CBSA Land, Air and Marine port of entry and Inland Offices",350,310,255,305,325,355,485,770,1410,1560,2280,4410,12820
2022,Air Ports of Entry,740,710,975,960,1195,1360,1445,1485,2050,2100,2105,2040,17165
2022,Land Ports of Entry,2665,2570,2945,3280,4185,3695,4255,3900,4330,4510,4305,5430,46065
2022,Marine Ports of Entry,NA,0,NA,NA,0,NA,0,0,NA,10,NA,NA,25
2022,"All Ports of Entry (Air, Land and Marine)",3410,3285,3925,4240,5385,5055,5695,5380,6380,6620,6410,7470,63260
2022,Inland Offices,30,35,50,60,75,70,65,45,90,100,95,140,850
2022,"Total - CBSA Land, Air and Marine port of entry and Inland Offices",3440,3320,3975,4300,5460,5125,5760,5425,6470,6715,6505,7615,64110
2023,Air Ports of Entry,1370,1490,1595,2285,2750,4350,4010,3300,5435,5575,4810,4385,41355
2023,Land Ports of Entry,5510,4980,5045,1595,1650,1195,1405,1315,1830,1550,1440,1945,29455
2023,Marine Ports of Entry,NA,10,NA,NA,5,NA,NA,NA,5,NA,NA,NA,35
2023,"All Ports of Entry (Air, Land and Marine)",6880,6485,6640,3880,4405,5550,5420,4615,7265,7125,6250,6330,70845
2023,Inland Offices,165,180,130,115,95,95,95,85,100,120,115,180,1470
2023,"Total - CBSA Land, Air and Marine port of entry and Inland Offices",7045,6665,6775,3995,4500,5645,5515,4700,7365,7245,6365,6505,72320
