year,province,january,february,march,april,may,june,july,august,september,october,november,december
2017,New Brunswick,0,0,1,0,0,0,0,0,0,0,0,0
2017,Quebec,245,452,654,672,576,781,2996,5530,1720,1755,1539,1916
2017,Ontario,0,0,0,0,0,0,0,0,0,0,0,0
2017,Manitoba,19,142,170,146,106,63,87,80,78,67,38,22
2017,Saskatchewan,5,0,0,9,0,0,0,0,0,0,0,0
2017,Alberta,0,0,1,0,0,1,0,0,4,0,0,0
2017,British Columbia,46,84,71,32,60,39,51,102,79,68,46,40
2018,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0
2018,Quebec,1458,1486,1884,2479,1775,1179,1552,1666,1485,1334,978,1242
2018,Ontario,0,0,0,0,0,0,0,0,0,0,0,0
2018,Manitoba,18,31,53,50,36,31,51,39,44,23,23,11
2018,Saskatchewan,0,0,0,0,0,0,1,2,0,1,0,0
2018,Alberta,0,0,0,0,5,0,0,3,4,0,0,0
2018,British Columbia,41,48,33,31,53,53,31,39,68,37,18,27
2019,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0
2019,Quebec,871,800,967,1206,1149,1536,1835,1712,1701,1595,1118,1646
2019,Ontario,0,0,0,0,0,0,0,0,0,0,0,0
2019,Manitoba,1,1,13,15,27,26,23,26,19,18,9,2
2019,Saskatchewan,0,0,0,0,0,0,1,2,0,1,0,0
2019,Alberta,0,1,0,0,0,0,0,0,0,0,0,0
2019,British Columbia,16,6,22,25,20,5,15,22,17,8,21,5
2020,Newfoundland and Labrador,0,0,0,0,0,0,1,0,0,0,0,0
2020,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0
2020,Quebec,1086,976,930,1,17,28,29,15,30,27,24,26
2020,Ontario,0,0,0,0,0,0,0,0,0,0,0,0
2020,Manitoba,7,2,7,0,0,1,2,3,4,0,0,2
2020,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0
2020,Alberta,0,0,0,0,0,0,0,0,0,0,0,0
2020,British Columbia,7,2,18,5,4,3,17,0,7,5,8,8
2021,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0
2021,Quebec,28,39,29,29,12,11,28,63,150,96,832,2778
2021,Ontario,0,0,0,0,0,0,0,0,0,0,0,0
2021,Manitoba,1,0,5,2,3,0,5,2,0,0,1,0
2021,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0
2021,Alberta,0,0,0,0,0,0,0,0,0,0,0,0
2021,British Columbia,10,1,2,2,13,6,6,11,19,17,12,33
2022,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0
2022,Quebec,2367,2154,2492,2791,3449,3068,3645,3234,3650,3901,3731,4689
2022,Ontario,0,0,0,0,0,0,0,0,0,0,0,0
2022,Manitoba,0,1,2,3,3,3,3,5,10,16,23,3
2022,Saskatchewan,0,0,0,3,0,0,0,0,0,0,0,1
2022,Alberta,0,0,0,0,1,3,0,0,0,0,0,0
2022,British Columbia,16,9,8,8,40,14,29,10,35,34,34,52
2023,New Brunswick,0,0,0,0,0,0,0,1,0,0,0,0
2023,Quebec,4875,4517,4087,69,46,30,42,53,59,36,58,90
2023,Ontario,0,0,0,0,0,2,0,0,2,0,0,0
2023,Manitoba,19,5,15,9,3,1,8,3,2,7,0,5
2023,Saskatchewan,0,0,0,0,0,0,0,0,0,3,0,0
2023,Alberta,0,0,0,0,0,0,0,0,0,0,0,0
2023,British Columbia,104,61,73,26,30,27,33,40,25,29,37,131
